0, L: 67.0°, R: 1.0°, Yaw: 0.0, Rate: -0.03469862, Note: Init Done
2, L: 67.0°, R: 1.0°, Yaw: -0.0001220703, Rate: 0.03530139, Note: drive 250mm
994, L: 429.0°, R: 363.0°, Yaw: 0.19104, Rate: 2.065301, Note: drive 250mm
1984, L: 567.0°, R: 223.0°, Yaw: 94.6333, Rate: -0.8746986, Note: drive 250mm
2958, L: 924.0°, R: 591.0°, Yaw: 91.22205, Rate: 2.205302, Note: drive 250mm
3949, L: 1063.0°, R: 449.0°, Yaw: 186.5015, Rate: 0.5253014, Note: drive 250mm
4924, L: 1415.0°, R: 818.0°, Yaw: 181.1576, Rate: 0.8753014, Note: drive 250mm
5909, L: 1553.0°, R: 678.0°, Yaw: 274.5451, Rate: -1.574699, Note: drive 250mm
6884, L: 1909.0°, R: 1047.0°, Yaw: 270.3685, Rate: 2.765301, Note: drive 250mm


